batch_number,status,title,template_type,volume,kdi,tier,cluster_capture_potential,proposed_article_title,page_purpose,category
1,not_started,gluten-free desserts,recipe_or_dish,74000.0,22.0,Tier 1,74000.0,Glutenfree Dessert Recipe,seo_target,
1,not_started,how to make soup stock,howto_technique,74000.0,17.0,Tier 1,74000.0,Soup Stock Recipe,seo_target,
1,not_started,how much caffeine in a cup of coffee,howto_technique,74000.0,29.0,Tier 1,74000.0,How Much Caffeine Cup Coffee Recipe,seo_target,
1,not_started,how to use a pressure cooker,howto_technique,74000.0,25.0,Tier 1,74000.0,Use Pressure Cooker Recipe,seo_target,
1,not_started,pepperoni,ingredient_hub,60500.0,26.0,Tier 1,60500.0,Pepperoni Recipe,seo_target,
1,not_started,Kahlua,ingredient_hub,60500.0,28.0,Tier 1,60500.0,Kahlua Recipe,seo_target,
1,not_started,pecorino,ingredient_hub,60500.0,24.0,Tier 1,60500.0,Pecorino Recipe,seo_target,
1,not_started,nduja,ingredient_hub,60500.0,25.0,Tier 1,60500.0,Nduja Recipe,seo_target,
1,not_started,pomodoro sauce,ingredient_hub,60500.0,28.0,Tier 1,60500.0,Pomodoro Sauce Recipe,seo_target,
1,not_started,asiago,ingredient_hub,60500.0,22.0,Tier 1,60500.0,Asiago Recipe,seo_target,
1,not_started,mexican cheese,ingredient_hub,60500.0,19.0,Tier 1,60500.0,Mexican Cheese Recipe,seo_target,
1,not_started,unagi,ingredient_hub,60500.0,27.0,Tier 1,60500.0,Unagi Recipe,seo_target,
1,not_started,branzino fish,ingredient_hub,60500.0,21.0,Tier 1,60500.0,Branzino Fish Recipe,seo_target,
1,not_started,mustard seed,ingredient_hub,60500.0,26.0,Tier 1,60500.0,"Mustard Seed: Uses, Substitutes & Recipes",seo_target,herbs_spices
1,not_started,lard,ingredient_hub,60500.0,22.0,Tier 1,60500.0,Lard Recipe,seo_target,
1,not_started,maracuya,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Maracuya Recipe,seo_target,
1,not_started,nopales,ingredient_hub,49500.0,29.0,Tier 1,49500.0,Nopale Recipe,seo_target,
1,not_started,porchetta,ingredient_hub,49500.0,29.0,Tier 1,49500.0,Porchetta Recipe,seo_target,
1,not_started,hot honey,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Hot Honey Recipe,seo_target,
1,not_started,nutter butter,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Nutter Butter Recipe,seo_target,
1,not_started,pumpernickel,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Pumpernickel Recipe,seo_target,
1,not_started,hunan chicken,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Hunan Chicken Recipe,seo_target,
1,not_started,banana peppers,ingredient_hub,49500.0,20.0,Tier 1,49500.0,Banana Pepper Recipe,seo_target,
1,not_started,ahi tuna,ingredient_hub,49500.0,24.0,Tier 1,49500.0,Ahi Tuna Recipe,seo_target,
1,not_started,japanese sweet potato,recipe_or_dish,49500.0,19.0,Tier 1,49500.0,Japanese Sweet Potato Recipe,seo_target,
1,not_started,air fryer recipes healthy,recipe_or_dish,49500.0,27.0,Tier 1,49500.0,Air Fryer Healthy Recipe,seo_target,
1,not_started,sazon seasoning,ingredient_hub,49500.0,26.0,Tier 1,49500.0,Sazon Seasoning Recipe,seo_target,
1,not_started,hanger steak,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Hanger Steak Recipe,seo_target,
1,not_started,mango lassi,ingredient_hub,49500.0,25.0,Tier 1,49500.0,Mango Lassi Recipe,seo_target,
1,not_started,carne asada marinade,recipe_or_dish,49500.0,29.0,Tier 1,49500.0,Carne Asada Marinade Recipe,seo_target,
1,not_started,ina garten brownie pudding,recipe_or_dish,49500.0,25.0,Tier 1,49500.0,Ina Garten Brownie Pudding Recipe,seo_target,
1,not_started,fava beans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Fava Beans Recipe,seo_target,
1,not_started,baking tips,ingredient_hub,49500.0,26.0,Tier 1,49500.0,Baking Tip Recipe,seo_target,
1,not_started,american cheese,ingredient_hub,49500.0,25.0,Tier 1,49500.0,American Cheese Recipe,seo_target,
1,not_started,antipasto salad,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Antipasto Salad Recipe,seo_target,
1,not_started,red wine vinegar,recipe_or_dish,49500.0,21.0,Tier 1,49500.0,"Red Wine Vinegar: Uses, Substitutes & Recipes",seo_target,sauces_condiments
1,not_started,fusilli,ingredient_hub,49500.0,29.0,Tier 1,49500.0,Fusilli Recipe,seo_target,
1,not_started,pecans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Pecan Recipe,seo_target,
1,not_started,lemon drop recipe,recipe_or_dish,49500.0,29.0,Tier 1,49500.0,Lemon Drop Recipe,seo_target,
1,not_started,salmon internal temp,recipe_or_dish,49500.0,27.0,Tier 1,49500.0,Salmon Internal Temp Recipe,seo_target,
1,not_started,cannellini beans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Cannellini Beans Recipe,seo_target,
1,not_started,escarole,ingredient_hub,49500.0,26.0,Tier 1,49500.0,Escarole Recipe,seo_target,
1,not_started,ninja creami recipes,recipe_or_dish,49500.0,25.0,Tier 1,49500.0,Ninja Creami Recipe,seo_target,
1,not_started,jello shot recipe,recipe_or_dish,49500.0,26.0,Tier 1,49500.0,jello shot recipe,seo_target,allrecipes_mobile_find
1,not_started,navy beans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Navy Beans Recipe,seo_target,
1,not_started,musubi,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Musubi Recipe,seo_target,
1,not_started,black beans canned,recipe_or_dish,49500.0,29.0,Tier 1,49500.0,Black Beans Canned Recipe,seo_target,
1,not_started,potstickers,ingredient_hub,49500.0,23.0,Tier 1,49500.0,Potsticker Recipe,seo_target,
1,not_started,daikon,ingredient_hub,49500.0,25.0,Tier 1,49500.0,Daikon Recipe,seo_target,
1,not_started,foods of the us,recipe_or_dish,49500.0,28.0,Tier 1,49500.0,Food Us Recipe,seo_target,
1,not_started,Easy Venezuelan Recipes at Home,recipe_or_dish,49500.0,18.0,Tier 1,49500.0,Venezuelan at Home Recipe,seo_target,
1,not_started,delmonico steak,ingredient_hub,49500.0,24.0,Tier 1,49500.0,Delmonico Steak Recipe,seo_target,
1,not_started,daniel fast,ingredient_hub,40500.0,26.0,Tier 1,40500.0,Daniel Fast Recipe,seo_target,
1,not_started,better than sex cake,recipe_or_dish,40500.0,27.0,Tier 1,40500.0,Better Than Sex Cake Recipe,seo_target,
1,not_started,paleo meal plan,recipe_or_dish,40500.0,25.0,Tier 1,40500.0,Paleo Meal Plan Recipe,seo_target,
1,not_started,arayes,ingredient_hub,40500.0,23.0,Tier 1,40500.0,Araye Recipe,seo_target,
1,not_started,best italian desserts,recipe_or_dish,40500.0,27.0,Tier 1,40500.0,Italian Dessert Recipe,seo_target,
1,not_started,beef shank,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Beef Shank Recipe,seo_target,
1,not_started,india country food,recipe_or_dish,40500.0,25.0,Tier 1,40500.0,India Country Food Recipe,seo_target,
1,not_started,rainbow trout and,recipe_or_dish,40500.0,24.0,Tier 1,40500.0,Rainbow Trout Recipe,seo_target,
1,not_started,Chambord,ingredient_hub,40500.0,22.0,Tier 1,40500.0,Chambord Recipe,seo_target,
1,not_started,french martini,ingredient_hub,40500.0,29.0,Tier 1,40500.0,French Martini Recipe,seo_target,
1,not_started,top sirloin steak,recipe_or_dish,40500.0,21.0,Tier 1,40500.0,Top Sirloin Steak Recipe,seo_target,
1,not_started,bahama mama,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Bahama Mama Recipe,seo_target,
1,not_started,Amaro,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Amaro Recipe,seo_target,
1,not_started,black rice,ingredient_hub,40500.0,26.0,Tier 1,40500.0,Black Rice Recipe,seo_target,
