batch_number,status,title,template_type,volume,kdi,tier,cluster_capture_potential,proposed_article_title,page_purpose,category
4,not_started,ground turkey recipe,recipe_or_dish,9900.0,25.0,Tier 1,9900.0,ground turkey recipe,seo_target,allrecipes_mobile_find
4,not_started,li hing mui,recipe_or_dish,9900.0,28.0,Tier 1,9900.0,li hing mui,seo_target,allrecipes_mobile_find
4,not_started,irish cream liqueur,recipe_or_dish,9900.0,23.0,Tier 1,9900.0,irish cream liqueur,seo_target,allrecipes_mobile_find
4,not_started,rainbow cake rainbow,recipe_or_dish,9900.0,20.0,Tier 1,9900.0,Rainbow Cake Rainbow Recipe,seo_target,
4,not_started,white zinfandel,ingredient_hub,9900.0,21.0,Tier 1,9900.0,White Zinfandel Recipe,seo_target,
4,not_started,marry me chicken crock pot,recipe_or_dish,9900.0,26.0,Tier 1,9900.0,Marry Chicken Crock Pot Recipe,seo_target,
4,not_started,cherry and tomato,recipe_or_dish,9900.0,24.0,Tier 1,9900.0,Cherry Tomato Recipe,seo_target,
4,not_started,chipotle mayo,ingredient_hub,9900.0,27.0,Tier 1,9900.0,Chipotle Mayo Recipe,seo_target,
4,not_started,nori seaweed,ingredient_hub,9900.0,24.0,Tier 1,9900.0,Nori Seaweed Recipe,seo_target,
4,not_started,smiley fries,ingredient_hub,9900.0,22.0,Tier 1,9900.0,Smiley Fries Recipe,seo_target,
4,not_started,low fat peanut butter,recipe_or_dish,9900.0,29.0,Tier 1,9900.0,Low Fat Peanut Butter Recipe,seo_target,
4,not_started,elephant ears food,recipe_or_dish,9900.0,29.0,Tier 1,9900.0,Elephant Ear Food Recipe,seo_target,
4,not_started,eel sushi,ingredient_hub,9900.0,26.0,Tier 1,9900.0,Eel Sushi Recipe,seo_target,
4,not_started,cold brew cafetiere,recipe_or_dish,9900.0,28.0,Tier 1,9900.0,Cold Brew Cafetiere Recipe,seo_target,
4,not_started,pan seared chicken breast,recipe_or_dish,9900.0,22.0,Tier 1,9900.0,Pan Seared Chicken Breast Recipe,seo_target,
4,not_started,brisket rub,ingredient_hub,9900.0,27.0,Tier 1,9900.0,Brisket Rub Recipe,seo_target,
4,not_started,kings hawaiian sliders,recipe_or_dish,9900.0,29.0,Tier 1,9900.0,King Hawaiian Slider Recipe,seo_target,
4,not_started,soup season,ingredient_hub,9900.0,12.0,Tier 1,9900.0,Soup Season Recipe,seo_target,
4,not_started,flap steak,ingredient_hub,9900.0,25.0,Tier 1,9900.0,Flap Steak Recipe,seo_target,
4,not_started,finger food,ingredient_hub,9900.0,29.0,Tier 1,9900.0,Finger Food Recipe,seo_target,
4,not_started,grumpy old man drink,recipe_or_dish,9900.0,8.0,Tier 1,9900.0,Grumpy Old Man Drink Recipe,seo_target,
4,not_started,morir sonando,ingredient_hub,9900.0,25.0,Tier 1,9900.0,Morir Sonando Recipe,seo_target,
4,not_started,how to make spaghetti squash,howto_technique,9900.0,28.0,Tier 1,9900.0,how to make spaghetti squash,seo_target,allrecipes_mobile_find
4,not_started,spring mix,ingredient_hub,9900.0,25.0,Tier 1,9900.0,Spring Mix Recipe,seo_target,
4,not_started,italian wedding cookies,recipe_or_dish,9900.0,25.0,Tier 1,9900.0,Italian Wedding Cookies Recipe,seo_target,
4,not_started,diced tomatoes,ingredient_hub,9900.0,24.0,Tier 1,9900.0,Diced Tomatoe Recipe,seo_target,
4,not_started,pho ga,ingredient_hub,9900.0,27.0,Tier 1,9900.0,Pho Ga Recipe,seo_target,
4,not_started,airhead bites,ingredient_hub,9900.0,19.0,Tier 1,9900.0,Airhead Bite Recipe,seo_target,
4,not_started,chile pasilla,ingredient_hub,9900.0,24.0,Tier 1,9900.0,Chile Pasilla Recipe,seo_target,
